school,dist.n,schoolyr,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
New Highland Academy,1,2011-12,18,5,368,0.04891304347826087,0.01358695652173913
New Highland Academy,1,2012-13,23,16,411,0.05596107055961071,0.038929440389294405
New Highland Academy,1,2013-14,17,5,290,0.05862068965517241,0.017241379310344827
New Highland Academy,1,2014-15,25,13,437,0.057208237986270026,0.029748283752860413
New Highland Academy,1,2015-16,9,3,240,0.0375,0.0125
New Highland Academy,1,2016-17,11,7,262,0.04198473282442748,0.026717557251908396
Nystrom Elementary,0,2011-12,41,10,611,0.06710310965630115,0.016366612111292964
Nystrom Elementary,0,2012-13,42,14,601,0.06988352745424292,0.02329450915141431
Nystrom Elementary,0,2013-14,26,8,431,0.060324825986078884,0.018561484918793503
Nystrom Elementary,0,2014-15,50,18,600,0.08333333333333333,0.03
Nystrom Elementary,0,2015-16,19,7,331,0.05740181268882175,0.021148036253776436
Nystrom Elementary,0,2016-17,22,11,383,0.057441253263707574,0.028720626631853787
Ohlone Elementary,0,2011-12,23,14,514,0.04474708171206226,0.027237354085603113
Ohlone Elementary,0,2012-13,19,14,484,0.03925619834710744,0.028925619834710745
Ohlone Elementary,0,2013-14,10,5,322,0.031055900621118012,0.015527950310559006
Ohlone Elementary,0,2014-15,22,9,419,0.05250596658711217,0.021479713603818614
Ohlone Elementary,0,2015-16,10,8,225,0.044444444444444446,0.035555555555555556
Ohlone Elementary,0,2016-17,15,7,230,0.06521739130434782,0.030434782608695653
Olinda Elementary,0,2011-12,22,13,414,0.05314009661835749,0.03140096618357488
Olinda Elementary,0,2012-13,13,8,446,0.02914798206278027,0.017937219730941704
Olinda Elementary,0,2013-14,13,7,314,0.041401273885350316,0.022292993630573247
Olinda Elementary,0,2014-15,19,10,370,0.051351351351351354,0.02702702702702703
Olinda Elementary,0,2015-16,8,6,203,0.03940886699507389,0.029556650246305417
Olinda Elementary,0,2016-17,8,4,224,0.03571428571428571,0.017857142857142856
Parker Elementary,1,2011-12,21,14,232,0.09051724137931035,0.0603448275862069
Parker Elementary,1,2012-13,16,7,223,0.07174887892376682,0.03139013452914798
Parker Elementary,1,2013-14,17,10,178,0.09550561797752809,0.056179775280898875
Parker Elementary,1,2014-15,23,17,275,0.08363636363636363,0.06181818181818182
Parker Elementary,1,2015-16,8,3,150,0.05333333333333334,0.02
